cellname	file_path	stage	celltype
GasaE751076	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998669_GasaE751076.pairs.gz	E75	mitosis
GasaE751081	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998674_GasaE751081.pairs.gz	E75	neural ectoderm
GasaE751084	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998677_GasaE751084.pairs.gz	E75	mitosis
GasaE751085	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998678_GasaE751085.pairs.gz	E75	early mesenchyme
GasaE751086	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998679_GasaE751086.pairs.gz	E75	ExE endoderm
GasaE751088	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998681_GasaE751088.pairs.gz	E75	epithelial cells
GasaE751089	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998682_GasaE751089.pairs.gz	E75	neural ectoderm
GasaE751094	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998686_GasaE751094.pairs.gz	E75	neural ectoderm
GasaE751095	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998687_GasaE751095.pairs.gz	E75	early mesenchyme
GasaE751096	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998688_GasaE751096.pairs.gz	E75	mitosis
GasaE751097	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998689_GasaE751097.pairs.gz	E75	ExE ectoderm
GasaE751101	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998693_GasaE751101.pairs.gz	E75	ExE mesoderm
GasaE751102	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998694_GasaE751102.pairs.gz	E75	ExE ectoderm
GasaE751103	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998695_GasaE751103.pairs.gz	E75	early mesoderm
GasaE751105	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998697_GasaE751105.pairs.gz	E75	neural ectoderm
GasaE751107	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998699_GasaE751107.pairs.gz	E75	ExE mesoderm
GasaE751108	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998700_GasaE751108.pairs.gz	E75	early mesenchyme
GasaE751109	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998701_GasaE751109.pairs.gz	E75	ExE ectoderm
