Cellname	pairs	order_index	near_p	mitotic_p	farAvg	NaganoCellcycle	repli_score	annote_ratio
GascE753085	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999463_GascE753085.pairs.gz	3479	0.5389838729234874	0.14758396992845885	35250788.295492426	G1	0.5144976482002285	0.9937121593574613
GascE753086	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999464_GascE753086.pairs.gz	3451	0.550065445026178	0.15635411708710137	33838883.55343601	G1	0.4485227047392425	0.9929010509617291
GascE753087	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999465_GascE753087.pairs.gz	5808	0.5249462240567409	0.16689727341433638	23531838.837200046	G1	0.47142054137610007	0.9924335575892779
GascE753088	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999466_GascE753088.pairs.gz	1630	0.7243663340104213	0.11750051517560128	25700063.966103118	early/mid-S	0.5185630557550069	0.9942048681591978
GascE753089	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999467_GascE753089.pairs.gz	1123	0.6902208029695134	0.12336581238570922	25111517.36051684	early/mid-S	0.5130476489613663	0.994269900423603
GascE753090	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999468_GascE753090.pairs.gz	119	0.738742139665729	0.10271698659606156	28116263.70165746	early/mid-S	0.6274859350160565	0.9945191705111546
GascE753091	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999469_GascE753091.pairs.gz	3182	0.6754658643216915	0.14663297704340308	21762332.276214022	early/mid-S	0.5135693550553209	0.9946642010764574
GascE753092	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999470_GascE753092.pairs.gz	7452	0.37384627856075786	0.2735984528262556	17473340.646794595	G1	0.5535698867168612	0.9938717448366374
GascE753093	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999471_GascE753093.pairs.gz	491	0.7453326633498805	0.11065770655829132	25184519.31543061	early/mid-S	0.6164091017892406	0.9952463945903895
GascE753094	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999472_GascE753094.pairs.gz	266	0.7576395934166058	0.10269267800947315	23693032.512346495	early/mid-S	0.5124853813334073	0.9939075406895851
GascE753095	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999473_GascE753095.pairs.gz	359	0.8058247548491766	0.09064478614808115	22238663.081629716	mid-S/G2	0.528566841641815	0.9946023653267041
GascE753096	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999474_GascE753096.pairs.gz	560	0.6097206245950841	0.15326643131966206	22608213.424906977	G1	0.5948210473636057	0.9944011322849793
GascE753097	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999475_GascE753097.pairs.gz	2351	0.6409853825501248	0.1454993641173792	25056620.095125537	early/mid-S	0.6105383424654168	0.9949040516966019
GascE753098	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999476_GascE753098.pairs.gz	1559	0.6081166670675293	0.15699385076685027	23480521.010624494	G1	0.5840628435052139	0.99476386646993
GascE753099	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999477_GascE753099.pairs.gz	373	0.6781117080814865	0.13013021416312215	24953956.820213664	early/mid-S	0.6304064419502907	0.9953340730904262
GascE753100	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999478_GascE753100.pairs.gz	47	0.7480546067955588	0.10585028044997337	21183789.506417073	early/mid-S	0.6432334563794926	0.9948633204199258
GascE753101	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999479_GascE753101.pairs.gz	3532	0.6561871800717054	0.13507968416471514	25682411.981124807	early/mid-S	0.5252588167933024	0.9940847402547159
GascE753102	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999480_GascE753102.pairs.gz	6238	0.664044955666375	0.1936130059357505	21277197.839826632	Pre-M	0.5585545297172533	0.9947742354298904
GascE753103	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999481_GascE753103.pairs.gz	671	0.6484395799437953	0.14082236355568703	23892492.220868766	early/mid-S	0.5330407994447244	0.9938030673271657
GascE753104	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999482_GascE753104.pairs.gz	24	0.7998073591480993	0.08236734202446806	23708037.144186612	mid-S/G2	0.6062092733772476	0.9955613241606606
GascE753105	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999483_GascE753105.pairs.gz	2803	0.6209615142862274	0.16125208771079144	23175099.01583007	G1	0.5955222158107328	0.9951586843623774
GascE753106	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999484_GascE753106.pairs.gz	147	0.6954506046087154	0.12658909422769793	22544804.28113039	early/mid-S	0.6507194612924404	0.9947237497515464
GascE753107	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999485_GascE753107.pairs.gz	899	0.7367840699140737	0.11382738496730109	24581850.95104193	early/mid-S	0.5626453880468056	0.9950309053448066
GascE753108	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999486_GascE753108.pairs.gz	913	0.6443495986749904	0.14462564233235656	24180178.76175377	early/mid-S	0.6500348965184012	0.995634579765388
